word,sentiment
berzakat,positive
berzikir,positive
betul,positive
bhinneka,positive
bibit unggul,positive
bijak,positive
bijaksana,positive
bintang kelas,positive
bintang lapangan,positive
bintang panggung,positive
bisa,positive
bismillah,positive
bombastis,positive
bonafid,positive
bonafide,positive
bonafit,positive
bonus,positive
brilian,positive
buah hati,positive
buah karya,positive
budi pekerti,positive
budiman,positive
cakap,positive
cakep,positive
canggih,positive
cekatan,positive
cemerlang,positive
cendekia,positive
cendekiawan,positive
cepat,positive
cerdas,positive
cerdik,positive
ceria,positive
cermat,positive
cermati,positive
cita,positive
cita-cita,positive
cocok,positive
cukup,positive
cuma-cuma,positive
damai,positive
daur ulang,positive
daya guna,positive
daya gunakan,positive
daya upaya,positive
decak kagum,positive
demokrasi,positive
demokratis,positive
devisa,positive
dewasa,positive
diaktifkan,positive
diakui,positive
diakurkan,positive
diamini,positive
diaminkan,positive
diandalkan,positive
dianjurkan,positive
dianugerahi,positive
dianugerahkan,positive
dianugrahkan,positive
diarahkan,positive
dibaguskan,positive
dibahagiakan,positive
dibaikkan,positive
dibanggakan,positive
dibantu,positive
dibekali,positive
dibekalkan,positive
dibela,positive
dibenahi,positive
diberdayakan,positive
diberitahu,positive
dibina,positive
dicapai,positive
dicerdaskan,positive
diceriakan,positive
dicermati,positive
dicermatkan,positive
didamaikan,positive
didaur ulang,positive
didayagunakan,positive
didayaupayakan,positive
didik,positive
didonasikan,positive
didonorkan,positive
diedukasi,positive
diedukasikan,positive
diefektifkan,positive
difavoritkan,positive
digalakkan,positive
digandrungi,positive
digapai,positive
digratiskan,positive
dihadiahi,positive
dihadiahkan,positive
dihargai,positive
diharmoniskan,positive
dihemat,positive
dihibur,positive
dihijaukan,positive
dihormati,positive
dikaji kembali,positive
dikakgumi,positive
dikaruniai,positive
dikaruniakan,positive
dikaryakan,positive
dikasihi,positive
diketahui,positive
diklarifikasi,positive
dikokohkan,positive
dikukuhkan,positive
dilancarkan,positive
dilanggengkan,positive
dilapangi,positive
dilapangkan,positive
dilegakan,positive
dilerai,positive
dilestarikan,positive
dilimpahkan,positive
dilindungi,positive
diluhurkan,positive
dilunasi,positive
dimaafkan,positive
dimerdekakan,positive
diminati,positive
dimotivasi,positive
dimudahkan,positive
dimuliakan,positive
dioptimalkan,positive
dipahami,positive
dipathui,positive
dipatuhi,positive
dipelajari,positive
dipenuhi,positive
diperbagus,positive
diperbaiki,positive
diperbantukan,positive
diperbarui,positive
diperbenar,positive
dipercakap,positive
dipercakep,positive
dipercanggih,positive
dipercantik,positive
dipercaya,positive
dipercepat,positive
diperdamai,positive
diperelok,positive
dipererat,positive
diperkenankan,positive
diperlancar,positive
diperlapang,positive
dipermudah,positive
dipersatukan,positive
dipersolid,positive
dipertampan,positive
diprioritaskan,positive
diproses,positive
dipuaskan,positive
dipulihkan,positive
diraih,positive
dirampungkan,positive
dirangkul,positive
dirapihkan,positive
dirapikan,positive
dirawat,positive
direnungi,positive
direnungkan,positive
direstui,positive
diridai,positive
diridhai,positive
diridhoi,positive
diridoi,positive
dirohmati,positive
dirukunkan,positive
disadarkan,positive
disanjung,positive
disanjung-sanjung,positive
disantuni,positive
disapu bersih,positive
disatukan,positive
disayangi,positive
diserahkan,positive
disetujui,positive
disingsingkan,positive
disolidkan,positive
distabilkan,positive
disterilkan,positive
distimulasi,positive
disubsidi,positive
disucikan,positive
disukai,positive
disukseskan,positive
disyukuri,positive
ditaati,positive
ditabahkan,positive
ditauladani,positive
ditekuni,positive
diteladani,positive
ditenangkan,positive
ditenteramkan,positive
ditentramkan,positive
ditepati,positive
diterangi,positive
diterima,positive
ditertibkan,positive
ditindaklanjuti,positive
ditolong,positive
dituntun,positive
diunggulkan,positive
diuntungkan,positive
diupayakan,positive
diusahakan,positive
diutamakan,positive
doakan,positive
donasi,positive
donatur,positive
donor,positive
dorong,positive
dukungan,positive
dzikir,positive
edukasi,positive
edukatif,positive
efektif,positive
efisien,positive
ekonomis,positive
ekspres,positive
elegan,positive
elite,positive
elok,positive
eloknya,positive
empati,positive
enak,positive
enak-enak,positive
enteng,positive
esensial,positive
estetik,positive
estetis,positive
etis,positive
evaluasi,positive
faedah,positive
fakta,positive
faktual,positive
fantastis,positive
fasih,positive
favorit,positive
fenomenal,positive
final,positive
fitrah,positive
gagah,positive
